"id","part_number","name","price","currency_id"
87,43759,"Nokia X3-02 Touch and Type - дисплей в оправе (original)",750,1
88,44689,"Nokia X7 - дисплей (original) (F)",2400,1
89,45710,"Nokia 300 Asha - сенсорное стекло в сборе c установочной площадкой (original), цвет: Black",950,1
90,45919,"Nokia 303 Asha - сенсорное стекло в сборе (original), цвет: Black",850,1
91,45696,"Nokia 500 - сенсорное стекло в сборе (original), цвет: Black",800,1
92,38365,"Nokia 5228, 5230 XpressMusic, 5235 - сенсорное стекло (original), цвет: White",850,1
93,40996,"Nokia 5230 XpressMusic, 5235 - сенсорное стекло (original), цвет: Black",850,1
94,43779,"Nokia 5250 - сенсорное стекло в сборе с передней панелью корпуса (original) (Н.П.)",1280,1
95,38364,"Nokia 5530 XpressMusic - сенсорное стекло (original)",1050,1
96,35580,"Nokia 5800 XpressMusic, 5800 Navigator - сенсорное стекло (original) (F)",1350,1
97,45752,"Nokia 700 - сенсорное стекло в сборе (original), цвет: Black",,1
98,45749,"Nokia 700 - сенсорное стекло в сборе (original), цвет: White",,1
99,45981,"Nokia 710 Lumia - сенсорное стекло в сборе (original), цвет: Black",,1
100,45983,"Nokia 710 Lumia - сенсорное стекло в сборе (original), цвет: White",,1
101,33274,"Nokia 7710 - сенсорное стекло (original)",250,1
102,45821,"Nokia 800 Lumia - сенсорное стекло в сборе с дисплеем (original)",9740,1
103,45345,"Nokia C2-03 Touch and Type - сенсорное стекло (original), цвет: Black",,1
104,45344,"Nokia C2-03 Touch and Type - сенсорное стекло (original), цвет: White",,1
105,45626,"Nokia C2-03 Touch and Type - сенсорное стекло в сборе (original), цвет: Black",800,1
106,45625,"Nokia C2-03 Touch and Type - сенсорное стекло в сборе (original), цвет: White",840,1
107,45309,"Nokia C3-01 Touch and Type - сенсорное стекло (original), цвет: Black (A)",600,1
108,45526,"Nokia C3-01.5 Gold Edition - сенсорное стекло (original), цвет: Real Gold",650,1
109,44199,"Nokia C5-03, C5-06 - сенсорное стекло в сборе (original), цвет: Cool Grey",1300,1
110,44453,"Nokia C5-03, C5-06 - сенсорное стекло в сборе (original), цвет: White",1350,1
111,43228,"Nokia C6-00 - сенсорное стекло в сборе с внешней панелью верхнего слайдера (original), цвет: Black",1550,1
112,43226,"Nokia C6-00 - сенсорное стекло в сборе с внешней панелью верхнего слайдера (original), цвет: White",1550,1
113,44259,"Nokia C6-01 - сенсорное стекло в сборе с передней панелью корпуса (original), цвет: Black",1400,1
114,44257,"Nokia C6-01 - сенсорное стекло в сборе с передней панелью корпуса (original), цвет: Silver",1450,1
115,43804,"Nokia C7-00 - сенсорное стекло в сборе (original), цвет: Aubergine (F)",2850,1
116,43813,"Nokia C7-00 - сенсорное стекло в сборе (original), цвет: Frosty Metal (F)",3300,1
117,43806,"Nokia C7-00 - сенсорное стекло в сборе (original), цвет: Satin Black (F)",3200,1
118,45109,"Nokia E6-00 - сенсорное стекло в сборе (original), цвет: Black",3200,1
119,45112,"Nokia E6-00 - сенсорное стекло в сборе (original), цвет: Silver",3200,1
120,45115,"Nokia E6-00 - сенсорное стекло в сборе (original), цвет: White",3200,1
121,44619,"Nokia E7-00 - сенсорное стекло (original) (F)",2550,1
122,45328,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Black, Pink (F)",2850,1
123,43899,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Blue (F)",1900,1
124,43895,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Dark Grey (F)",3600,1
125,43898,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Green (F)",2000,1
126,43896,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Orange",,1
127,43897,"Nokia N8-00 - сенсорное стекло в оправе (original), цвет: Silver, White (F)",3600,1
128,45771,"Nokia N8-00 - сенсорное стекло в оправе (original, china), цвет: Blue",1100,1
129,39594,"Nokia N900 - сенсорное стекло в сборе с динамиком (original) (A)",1250,1
130,45646,"Nokia N9-00 - сенсорное стекло в сборе с дисплеем (original)",5000,1
131,37108,"Nokia N97 - сенсорное стекло в сборе (original), цвет: Black",2000,1
132,37110,"Nokia N97 - сенсорное стекло в сборе (original), цвет: White",1750,1
133,43762,"Nokia X3-02 Touch and Type - сенсорное стекло (original) (A)",650,1
134,93,"Nokia X6, X6 16Gb, X6 8Gb - сенсорное стекло в оправе (original) (F)",2000,1
135,45006,"Nokia X7-00 - сенсорное стекло в оправе (original) (F)",3550,1
136,35683,"Nokia 5000 - защитное стекло дисплея с подклавиатурной платой (original), цвет: Black",350,1
137,36044,"Nokia 5130 XpressMusic - защитное стекло дисплея с динамиком  (original), цвет: Red",300,1
138,36046,"Nokia 5130 XpressMusic - защитное стекло дисплея с динамиком (original), цвет: Blue",300,1
139,43774,"Nokia 5250 - защитное стекло видеокамеры (original)",,1
140,34800,"Nokia 5310 - защитное стекло дисплея в сборе с модулем интерфейса (original), цвет: Black (A)",850,1
141,34164,"Nokia 5500 - защитное стекло дисплея с клавиатурой набора номера (original), цвет: Black, White",350,1
