id,name,price,currency_id,created_at,updated_at,diagnostic,code
1,Восстановление после попадения воды,900.0,1,2012-02-14 13:05:41 UTC,2012-02-14 13:05:41 UTC,false,001
2,Замена дискретных электронных компонентов,800.0,1,2012-02-14 13:05:41 UTC,2012-02-14 13:05:41 UTC,false,002
4,Замена микросхем радиоблока,900.0,1,2012-02-14 13:05:41 UTC,2012-02-14 13:05:41 UTC,false,004
5,Замена электромеханических и механических элементов,600.0,1,2012-02-14 13:08:01 UTC,2012-02-14 13:08:01 UTC,false,005
6,Восстановление и обновление ПО,1200.0,1,2012-02-14 13:08:01 UTC,2012-02-14 13:08:01 UTC,false,006
7,Замена дисплея,950.0,1,2012-02-14 13:08:01 UTC,2012-02-14 13:08:01 UTC,false,007
8,"Восстановление после падений, ударов",1100.0,1,2012-02-14 13:08:01 UTC,2012-02-14 13:08:01 UTC,false,008
3,"Замена корпусных деталей, промывка и очистка внешних контактов",850.0,1,2012-02-14 13:05:41 UTC,2012-02-14 13:08:01 UTC,false,003
